Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk▼,Comb,Solo,Ast,TFL,QBHits,Sfty
Malcolm Koonce,LVR,25,DE,17,11,,,0.00,,,0.18,0.00,0,0,0,0.47,2.53,1.88,0.65,0.53,1.00,
Aaron Donald*+,LAR,32,DT,16,16,0.00,0.00,0.00,0,0.19,,,,,0,0.50,3.31,1.75,1.56,1.00,1.44,
Preston Smith,GNB,31,LB,17,17,0.00,0.00,0.00,0,0.24,0.12,0.00,0,0,0,0.47,2.82,1.65,1.18,0.24,1.24,
Nik Bonitto,DEN,24,OLB,15,4,0.00,0.00,0.00,0,0.13,0.07,0.00,0,0,0,0.53,2.00,1.53,0.47,0.87,1.33,
Dayo Odeyingbo,IND,24,DE,17,1,0.00,0.00,0.00,0,0.12,0.12,0.00,2,0,0,0.47,2.24,1.29,0.94,0.53,1.00,
Jermaine Johnson II*,NYJ,24,LB,17,17,0.06,2.18,0.06,37,0.41,0.06,0.00,1,0,0,0.44,3.24,2.12,1.12,0.65,0.94,
YaYa Diaby,TAM,24,OLB,17,7,,,0.00,,,0.06,0.00,2,-2,0,0.44,2.24,1.47,0.76,0.71,0.47,
Kenny Clark*,GNB,28,DL,17,17,0.00,0.00,0.00,0,0.18,0.12,0.00,0,0,0,0.44,2.59,1.29,1.29,0.53,0.94,
Dorance Armstrong Jr.,DAL,26,DE,17,1,0.00,0.00,0.00,0,0.06,,,,,0,0.44,2.24,1.18,1.06,0.41,0.71,
Chase Young,2TM,24,DE-RDE,16,6,0.00,0.00,0.00,0,0.13,,,,,0,0.47,1.56,1.06,0.50,0.44,0.94,
Alex Highsmith,PIT,26,LB,17,17,0.12,1.76,0.06,30,0.18,0.12,0.00,0,0,0,0.41,3.35,2.00,1.35,0.47,1.06,
Will Anderson*,HOU,22,DE,15,13,0.00,0.00,0.00,0,0.07,,,,,0,0.47,3.00,1.93,1.07,0.67,1.47,
Jarran Reed,SEA,31,DE,16,16,0.00,0.00,0.00,0,0.13,0.06,0.00,1,0,0,0.44,3.38,1.69,1.69,0.44,0.75,
Javon Hargrave*,SFO,30,DL,16,16,0.00,0.00,0.00,0,0.13,,,,,0,0.44,2.75,1.56,1.19,0.50,0.88,
Charles Omenihu,KAN,26,DE,11,1,0.00,0.00,0.00,0,0.18,0.18,0.00,0,0,0,0.64,2.55,1.64,0.91,0.45,1.00,
Terrel Bernard,BUF,24,LB,17,17,0.18,0.12,0.00,2,0.29,0.00,0.00,3,-1,0,0.38,8.41,4.94,3.47,0.59,0.53,
Demario Davis*,NOR,34,LB,17,17,0.00,0.00,0.00,0,0.24,0.06,0.00,1,20,0,0.38,7.12,4.35,2.76,0.71,0.65,
Calais Campbell,ATL,37,DL,17,17,0.00,0.00,0.00,0,0.06,0.06,0.00,1,0,0,0.38,3.29,1.88,1.41,0.59,1.00,0.06
Michael Danna,KAN,26,DE,16,16,0.00,0.00,0.00,0,0.19,,,,,0,0.41,3.13,2.00,1.13,0.44,0.81,
Josh Sweat,PHI,26,DE,17,17,0.00,0.00,0.00,0,0.06,0.12,0.00,0,0,0,0.38,2.53,1.76,0.76,0.41,1.35,
Jaelan Phillips,MIA,24,LB,8,6,0.13,0.63,0.00,5,0.25,,,,,0,0.81,5.38,3.50,1.88,0.88,1.38,
Bud Dupree,ATL,30,OLB,16,16,0.00,0.00,0.00,0,0.19,0.13,0.00,0,0,0,0.41,2.44,1.06,1.38,0.50,0.50,
Joey Bosa,LAC,28,OLB,9,5,0.00,0.00,0.00,0,0.11,0.11,0.00,1,0,0,0.72,2.22,1.56,0.67,0.67,0.89,
A.J. Epenesa,BUF,25,DE,15,1,0.13,2.53,0.07,32,0.53,0.07,0.00,1,0,0,0.43,1.33,0.60,0.73,0.47,0.67,
Antoine Winfield Jr.+,TAM,25,S,17,17,0.18,1.65,0.00,28,0.71,0.35,0.00,4,5,0,0.35,7.18,4.47,2.71,0.35,0.47,
Michael Hoecht,LAR,26,OLB,17,17,0.00,0.00,0.00,0,0.12,0.06,0.00,0,0,0,0.35,4.76,2.65,2.12,0.41,0.65,
Andrew Van Ginkel,MIA,28,LOLB,17,11,0.06,1.94,0.06,33,0.47,0.00,0.00,1,29,0,0.35,4.06,2.47,1.59,0.47,1.12,
Sam Hubbard,CIN,28,DE,15,15,,,0.00,,,0.00,0.00,2,0,0,0.40,3.87,2.53,1.33,0.47,1.13,
Dennis Gardeck,ARI,29,OLB,17,8,0.00,0.00,0.00,0,0.24,0.06,0.00,1,2,0,0.35,2.71,2.12,0.59,0.41,0.71,
Sheldon Rankins,HOU,29,DT,15,15,,,0.00,,,0.07,0.00,1,13,1,0.40,2.47,1.93,0.53,0.60,0.67,
Jalen Carter,PHI,22,DT,16,1,,,0.00,,,0.13,0.00,1,42,1,0.38,2.06,1.25,0.81,0.50,0.56,
Arden Key,TEN,27,OLB,17,9,0.00,0.00,0.00,0,0.12,0.12,0.00,0,0,0,0.35,1.76,1.00,0.76,0.24,0.71,
Arnold Ebiketie,ATL,24,OLB,17,6,0.00,0.00,0.00,0,0.06,0.12,0.00,0,0,0,0.35,1.47,0.94,0.53,0.18,0.71,
Quinton Jefferson,NYJ,30,DL,14,14,,,0.00,,,0.07,0.00,1,-10,0,0.43,2.43,0.93,1.50,0.29,0.93,
Frankie Luvu,CAR,27,LILB,17,17,0.00,0.00,0.00,0,0.29,0.12,0.00,0,0,0,0.32,7.35,3.88,3.47,0.59,0.65,
Quinnen Williams*,NYJ,26,DL,17,17,0.06,0.35,0.00,6,0.18,0.06,0.00,1,0,0,0.32,3.65,2.29,1.35,0.65,1.18,0.06
Leonard Williams,2TM,29,NT-RDE,18,17,0.00,0.00,0.00,0,0.11,,,,,0,0.31,3.44,2.06,1.39,0.56,0.89,
Jonathan Allen,WAS,28,DT,16,16,0.00,0.00,0.00,0,0.06,,,,,0,0.34,3.31,1.88,1.44,0.63,1.19,
Jeffery Simmons,TEN,26,DT,12,12,0.00,0.00,0.00,0,0.08,0.08,0.00,1,2,0,0.46,3.67,2.50,1.17,0.83,0.92,
Vita Vea,TAM,28,NT,15,15,,,0.00,,,0.13,0.00,0,0,0,0.37,2.87,1.87,1.00,0.53,0.60,
Za'Darius Smith,CLE,31,DE,16,16,0.00,0.00,0.00,0,0.19,0.06,0.00,0,0,0,0.34,1.69,1.13,0.56,0.50,1.25,
Devonte Wyatt,GNB,25,DL,17,5,,,0.00,,,0.00,0.00,1,0,0,0.32,2.12,1.06,1.06,0.35,0.65,
Darrell Taylor,SEA,26,LB,17,5,0.00,0.00,0.00,0,0.06,,,,,0,0.32,1.65,1.00,0.65,0.41,0.47,
Morgan Fox,LAC,29,DL,17,4,,,0.00,,,,,,,0,0.32,0.88,0.65,0.24,0.29,0.59,
Emmanuel Ogbah,MIA,30,NT,15,1,0.07,0.33,0.00,5,0.13,0.07,0.00,0,0,0,0.37,1.33,0.47,0.87,0.20,0.60,
Gregory Rousseau,BUF,23,DE,16,16,0.00,0.00,0.00,0,0.25,0.06,0.00,1,0,0,0.31,2.63,1.88,0.75,0.75,1.13,
Joe Tryon-Shoyinka,TAM,24,OLB,17,12,0.00,0.00,0.00,0,0.06,0.06,0.00,1,0,0,0.29,2.65,1.65,1.00,0.41,0.41,
Zach Allen,DEN,26,DE,17,17,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.29,3.53,1.59,1.94,0.47,1.41,
Odafe Oweh,BAL,25,OLB,13,5,,,0.00,,,0.15,0.00,0,0,0,0.38,1.77,1.54,0.23,0.31,0.92,
Maliek Collins,HOU,28,DT,16,16,0.00,0.00,0.00,0,0.06,,,,,0,0.31,2.56,1.19,1.38,0.50,1.13,
Alim McNeill,DET,23,DL,13,13,0.00,0.00,0.00,0,0.08,0.08,0.00,0,0,0,0.38,2.46,1.31,1.15,0.46,0.77,
Casey Toohill,WAS,27,DE,16,8,0.00,0.00,0.00,0,0.06,0.00,0.00,1,0,0,0.31,1.63,1.06,0.56,0.38,0.44,
Adam Butler,LVR,29,DT,17,0,0.00,0.00,0.00,0,0.24,0.06,0.00,0,0,0,0.29,1.65,0.94,0.71,0.47,0.53,
Jihad Ward,NYG,29,OLB,17,9,,,0.00,,,0.06,0.00,1,7,0,0.29,1.41,0.94,0.47,0.29,0.53,
Alex Wright,CLE,23,DE,16,1,0.00,0.00,0.00,0,0.13,0.13,0.00,1,0,0,0.31,1.56,1.00,0.56,0.38,0.31,
Arik Armstead,SFO,30,LDT,12,12,,,0.00,,,,,,,0,0.42,2.25,1.25,1.00,0.33,1.08,
Fletcher Cox,PHI,33,LDT,15,15,0.00,0.00,0.00,0,0.13,0.07,0.00,1,8,0,0.33,2.20,1.00,1.20,0.20,1.13,
Solomon Thomas,NYJ,28,DL,17,3,0.00,0.00,0.00,0,0.06,,,,,0,0.29,1.82,0.88,0.94,0.41,0.35,
