Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk▼,Comb,Solo,Ast,TFL,QBHits,Sfty
T.J. Edwards,CHI,27,LB,17,17,0.18,0.24,0.00,2,0.41,0.06,0.00,2,0,0,0.15,9.12,5.35,3.76,0.47,0.47,
Fred Warner*+,SFO,27,LB,17,17,0.24,3.88,0.00,32,0.65,0.24,0.00,0,0,0,0.15,7.76,4.82,2.94,0.35,0.29,
Josh Metellus,MIN,25,S,17,17,0.06,2.53,0.00,43,0.29,0.24,0.00,1,0,0,0.15,6.82,4.59,2.24,0.41,0.59,
Elandon Roberts,PIT,29,LB,16,15,0.00,0.00,0.00,0,0.13,,,,,0,0.16,6.31,4.25,2.06,0.63,0.38,
Ivan Pace,MIN,23,LB,17,11,0.06,0.00,0.00,0,0.12,0.06,0.00,1,6,0,0.15,6.00,3.71,2.29,0.12,0.53,
Quay Walker,GNB,23,LB,14,14,0.07,2.64,0.07,37,0.21,,,,,0,0.18,8.43,4.21,4.21,0.50,0.36,
Tyrel Dodson,BUF,25,LB,17,10,0.00,0.00,0.00,0,0.12,0.06,0.00,1,0,0,0.15,4.35,3.35,1.00,0.47,0.35,
Devin White,TAM,25,LB,14,13,0.14,2.57,0.00,26,0.43,,,,,0,0.18,5.93,3.50,2.43,0.36,0.64,
Terrell Edmunds,2TM,26,S,16,4,0.06,0.13,0.00,2,0.13,0.06,0.00,0,0,0,0.16,3.00,2.13,0.88,0.13,0.13,
Kevin Strong,ARI,27,LDE,14,11,0.00,0.00,0.00,0,0.07,0.00,0.00,1,0,0,0.18,3.29,1.79,1.50,0.36,0.21,
Jordan Davis,PHI,23,DT,17,17,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.15,2.65,1.06,1.59,0.12,0.29,
Leki Fotu,ARI,25,DT,11,9,,,0.00,,,,,,,0,0.23,2.55,1.36,1.18,0.45,0.18,
Jordan Elliott,CLE,26,DT,17,14,0.00,0.00,0.00,0,0.06,,,,,0,0.15,1.24,0.82,0.41,0.18,0.18,
Gervon Dexter,CHI,22,DL,17,1,0.00,0.00,0.00,0,0.12,,,,,0,0.15,1.18,0.76,0.41,0.00,0.71,
Derek Barnett,2TM,27,DE,14,4,0.00,0.00,0.00,0,0.07,,,,,0,0.18,1.57,0.86,0.71,0.64,0.79,
Jordan Phillips,BUF,31,DT,14,9,0.00,0.00,0.00,0,0.36,,,,,0,0.18,1.07,0.71,0.36,0.14,0.36,
Azeez Ojulari,NYG,23,OLB,11,7,,,0.00,,,0.00,0.00,1,0,0,0.23,1.45,0.82,0.64,0.27,0.64,
DaQuan Jones,BUF,32,DT,7,7,,,0.00,,,,,,,0,0.36,2.29,1.14,1.14,0.57,0.71,
Alex Singleton,DEN,30,LB,17,16,0.00,0.00,0.00,0,0.24,0.00,0.00,2,0,0,0.12,10.4,6.24,4.18,0.35,0.35,
Quincy Williams+,NYJ,27,LB,17,16,0.06,0.65,0.00,11,0.59,0.12,0.00,1,0,0,0.12,8.18,5.59,2.59,0.88,0.24,
Derwin James,LAC,27,S,16,16,0.06,0.38,0.00,6,0.44,0.00,0.00,2,0,0,0.13,7.81,5.38,2.44,0.31,0.25,
Azeez Al-Shaair,TEN,26,LILB,17,17,0.00,0.00,0.00,0,0.24,0.00,0.00,1,0,0,0.12,9.59,4.94,4.65,0.53,0.35,
Nathan Landman,ATL,25,LB,16,14,0.06,1.56,0.00,25,0.19,0.19,0.00,0,0,0,0.13,6.88,4.13,2.75,0.44,0.25,
Christian Harris,HOU,22,LB,16,12,0.00,0.00,0.00,0,0.44,0.06,0.00,0,0,0,0.13,6.31,4.06,2.25,0.44,0.19,
Tre'von Moehrig,LVR,24,S,17,17,0.18,2.41,0.00,25,0.47,,,,,0,0.12,4.88,3.82,1.06,0.06,0.12,
Mike Hilton,CIN,29,CB,17,13,0.12,0.94,0.00,16,0.47,0.00,0.00,1,0,0,0.12,4.94,3.76,1.18,0.71,0.12,
Germaine Pratt,CIN,27,LB,17,17,0.12,0.53,0.00,9,0.18,0.12,0.00,0,0,0,0.12,6.94,3.71,3.24,0.41,0.18,
Roger McCreary,TEN,23,CB,15,11,0.07,1.20,0.00,18,0.40,0.07,0.00,0,0,0,0.13,5.73,4.13,1.60,0.47,0.13,
Jason Pinnock,NYG,24,S,16,16,0.13,7.69,0.06,102,0.38,0.13,0.00,0,0,0,0.13,5.31,3.69,1.63,0.38,0.25,
Derrick Brown*,CAR,25,DT,17,17,0.06,0.12,0.00,2,0.35,,,,,0,0.12,6.06,3.35,2.71,0.41,0.88,
Blake Cashman,HOU,27,MLB,14,13,0.07,0.00,0.00,0,0.36,0.00,0.00,1,2,0,0.14,7.57,4.00,3.57,0.64,0.36,
Kyzir White,ARI,27,LB,11,11,0.09,0.00,0.00,0,0.27,,,,,0,0.18,8.18,4.82,3.36,0.82,0.18,
Jack Campbell,DET,23,LB,17,12,0.00,0.00,0.00,0,0.06,,,,,0,0.12,5.59,3.06,2.53,0.29,0.18,
Sione Takitaki,CLE,28,RLB/MLB,15,7,0.07,0.00,0.00,0,0.20,,,,,0,0.13,4.33,3.00,1.33,0.20,0.20,
Jordan Battle,CIN,23,S,17,7,0.06,0.00,0.00,0,0.29,,,,,0,0.12,4.18,2.53,1.65,0.24,0.18,
David Mayo,WAS,30,LB,17,5,,,0.00,,,,,,,0,0.12,3.47,2.29,1.18,0.35,0.12,
Ja'Quan McMillian,DEN,23,CB,16,3,0.13,0.88,0.00,9,0.31,0.13,0.00,2,4,0,0.13,3.19,2.31,0.88,0.44,0.19,
Arthur Maulet,BAL,30,CB,14,3,0.07,0.00,0.00,0,0.36,0.00,0.00,2,21,0,0.14,2.64,2.29,0.36,0.36,0.21,
D.J. Jones,DEN,28,DT,16,16,,,0.00,,,0.19,0.00,2,14,0,0.13,2.88,1.88,1.00,0.31,0.25,
Jaylen Watson,KAN,25,CB,16,2,0.00,0.00,0.00,0,0.38,,,,,0,0.13,2.06,1.75,0.31,0.13,0.13,
Kingsley Enagbare,GNB,23,LB,17,4,0.00,0.00,0.00,0,0.06,0.06,0.00,1,0,0,0.12,2.18,1.59,0.59,0.47,0.35,
Cameron Heyward,PIT,34,DT,11,11,0.00,0.00,0.00,0,0.09,,,,,0,0.18,3.00,2.27,0.73,0.55,0.27,
Jonathan Bullard,MIN,30,DL,17,14,,,0.00,,,0.06,0.00,0,0,0,0.12,2.59,1.41,1.18,0.18,0.12,
Zack Baun,NOR,27,RLB,17,6,0.06,0.59,0.00,10,0.12,0.00,0.06,0,0,0,0.12,1.76,1.18,0.59,0.24,0.24,
Cameron Jordan,NOR,34,DE,17,17,0.00,0.00,0.00,0,0.18,0.00,0.00,1,0,0,0.12,2.53,1.18,1.35,0.18,0.35,
Jonah Williams,LAR,28,DE,17,16,0.00,0.00,0.00,0,0.06,,,,,0,0.12,2.88,1.18,1.71,0.24,0.24,
Khalil Davis,HOU,27,DT,15,1,0.00,0.00,0.00,0,0.13,0.07,0.00,1,0,0,0.13,2.13,1.07,1.07,0.40,0.40,
Mario Edwards,SEA,29,DE,15,1,0.00,0.00,0.00,0,0.07,0.07,0.00,0,0,0,0.13,1.40,1.00,0.40,0.33,0.40,
John Cominsky,DET,28,DL,16,11,0.00,0.00,0.00,0,0.06,,,,,0,0.13,2.25,0.88,1.38,0.13,0.50,
Marlon Tuipulotu,PHI,24,DT,14,0,,,0.00,,,,,,,0,0.14,1.57,0.93,0.64,0.21,0.14,
Taven Bryan,IND,27,DT,17,7,,,0.00,,,0.06,0.00,0,0,0,0.12,1.29,0.71,0.59,0.24,0.06,
Uchenna Nwosu,SEA,27,LB,6,6,,,0.00,,,0.33,0.00,0,0,0,0.33,2.67,2.00,0.67,0.67,1.00,
Jerry Tillery,LVR,27,RDE,17,6,,,0.00,,,0.00,0.00,1,0,0,0.12,1.82,0.65,1.18,0.12,0.35,
Broderick Washington Jr.,BAL,27,DT,16,5,,,0.00,,,0.00,0.00,2,0,0,0.13,1.13,0.63,0.50,0.19,0.31,
K'Lavon Chaisson,JAX,24,OLB,17,0,0.00,0.00,0.00,0,0.06,,,,,0,0.12,0.76,0.53,0.24,0.24,0.47,
Rasheem Green,CHI,26,DL,17,0,,,0.00,,,,,,,0,0.12,0.88,0.47,0.41,0.12,0.29,
Tershawn Wharton,KAN,25,DT,17,1,,,0.00,,,0.00,0.00,1,0,0,0.12,1.24,0.41,0.82,0.12,0.29,
Julian Okwara,DET,26,LB,9,1,0.00,0.00,0.00,0,0.11,,,,,0,0.22,0.78,0.67,0.11,0.22,0.44,
Desjuan Johnson,LAR,24,DE,11,0,,,0.00,,,0.09,0.00,0,0,0,0.18,0.82,0.45,0.36,0.18,0.18,
Jacob Martin,IND,28,DE,17,0,,,0.00,,,,,,,0,0.12,0.41,0.29,0.12,0.06,0.18,
Marcus Davenport,MIN,27,LD,4,3,,,0.00,,,,,,,0,0.50,1.75,0.75,1.00,0.50,1.00,
Romeo Okwara,DET,28,DL,16,0,0.00,0.00,0.00,0,0.13,0.06,0.00,0,0,0,0.13,0.56,0.19,0.38,0.06,0.31,
Zaire Franklin,IND,27,LB,16,16,0.00,0.00,0.00,0,0.38,0.13,0.00,0,0,0,0.09,11.2,6.69,4.50,0.19,0.19,
Roquan Smith*+,BAL,26,LB,16,16,0.06,1.88,0.00,30,0.50,0.06,0.00,0,0,0,0.09,9.88,5.25,4.63,0.31,0.31,
Dre Greenlaw,SFO,26,LB,15,15,0.00,0.87,0.00,13,0.27,,,,,0,0.10,8.00,5.00,3.00,0.33,0.27,
Daxton Hill,CIN,23,S,17,17,0.12,1.18,0.00,20,0.65,,,,,0,0.09,6.47,4.24,2.24,0.35,0.29,
Kyle Dugger,NWE,27,DB,17,17,0.12,2.06,0.00,20,0.41,0.06,0.00,0,0,0,0.09,6.41,4.18,2.24,0.35,0.29,
Kenny Moore,IND,28,CB,16,16,0.19,7.19,0.13,66,0.38,,,,,0,0.09,5.81,4.25,1.56,0.50,0.13,
Grant Delpit,CLE,25,S,13,13,0.08,0.00,0.00,0,0.23,0.00,0.08,1,14,0,0.12,6.15,4.85,1.31,0.54,0.31,
Jerome Baker,MIA,27,LILB,13,12,0.15,1.85,0.08,23,0.23,,,,,0,0.12,6.00,3.92,2.08,0.15,0.31,
Anfernee Jennings,NWE,26,LB,15,14,,,0.00,,,0.00,0.00,1,0,0,0.10,4.40,3.27,1.13,0.93,0.27,
Jayron Kearse,DAL,29,S,16,13,0.06,2.00,0.00,32,0.25,,,,,0,0.09,4.50,3.00,1.50,0.25,0.19,
Bilal Nichols,LVR,27,LDT,17,17,0.00,0.00,0.00,0,0.06,0.00,0.00,1,8,1,0.09,2.82,1.47,1.35,0.24,0.12,
Jonathan Ledbetter,ARI,26,DL,12,12,,,0.00,,,,,,,0,0.13,3.83,1.75,2.08,0.08,0.33,
Travis Jones,BAL,24,DT,17,0,0.00,0.00,0.00,0,0.12,,,,,0,0.09,2.12,1.18,0.94,0.24,0.29,
Cameron Sample,CIN,24,DE,17,2,0.00,0.00,0.00,0,0.06,,,,,0,0.09,1.71,1.06,0.65,0.06,0.47,
Shelby Harris,CLE,32,DT,17,7,0.00,0.00,0.00,0,0.29,0.06,0.00,0,0,0,0.09,1.65,1.00,0.65,0.35,0.18,
K.J. Henry,WAS,24,DE,10,3,0.00,0.00,0.00,0,0.20,,,,,0,0.15,1.90,1.40,0.50,0.40,0.20,
Kevin Givens,SFO,26,DL,17,1,0.00,0.00,0.00,0,0.06,0.00,0.00,1,0,0,0.09,1.29,0.71,0.59,0.18,0.24,
Maurice Hurst Jr.,CLE,28,DT,13,0,0.08,0.00,0.00,0,0.23,0.00,0.00,1,0,0,0.12,1.69,0.92,0.77,0.31,0.38,
Chauncey Golston,DAL,25,DE,17,3,,,0.00,,,0.06,0.00,0,0,0,0.09,1.47,0.65,0.82,0.06,0.18,
Charles Harris,DET,28,DL,13,3,,,0.00,,,,,,,0,0.12,1.00,0.77,0.23,0.15,0.38,
Grady Jarrett,ATL,30,DL,8,8,0.00,0.00,0.00,0,0.25,,,,,0,0.19,2.88,1.13,1.75,0.25,1.00,
Malik Herring,KAN,26,DE,7,1,0.00,0.00,0.00,0,0.14,0.14,0.00,0,0,0,0.21,1.43,1.00,0.43,0.29,0.43,
Melvin Ingram,MIA,34,LB,3,0,,,0.00,,,,,,,0,0.50,2.33,2.00,0.33,0.33,0.67,
Adetomiwa Adebawore,IND,22,DE,10,0,,,0.00,,,,,,,0,0.15,0.50,0.40,0.10,0.10,0.40,
E.J. Speed,IND,28,LB,16,11,0.00,0.00,0.00,0,0.25,0.19,0.00,0,0,0,0.06,6.38,4.88,1.50,0.75,0.13,
Logan Wilson,CIN,27,LB,17,17,0.24,2.47,0.00,26,0.53,0.12,0.00,0,0,0,0.06,7.94,4.59,3.35,0.29,0.24,
Kamren Curl,WAS,24,S,16,16,0.00,0.00,0.00,0,0.31,0.06,0.00,1,0,0,0.06,7.19,4.63,2.56,0.19,0.19,
Taron Johnson,BUF,27,CB,17,17,0.00,0.00,0.00,0,0.47,0.18,0.00,1,0,0,0.06,5.76,4.24,1.53,0.18,0.12,
Jaquan Brisker,CHI,24,DB,15,15,0.07,0.00,0.00,0,0.60,0.13,0.00,1,0,0,0.07,7.00,4.40,2.60,0.20,0.20,
Rayshawn Jenkins,JAX,29,SS,17,17,0.12,2.47,0.00,24,0.53,,,,,0,0.06,5.94,3.88,2.06,0.41,0.06,
Jordan Poyer,BUF,32,SS,16,16,0.00,0.00,0.00,0,0.25,0.06,0.00,0,0,0,0.06,6.25,4.13,2.13,0.13,0.13,
Myles Bryant,NWE,25,DB,17,9,0.06,0.35,0.00,6,0.41,0.12,0.06,0,0,0,0.06,4.53,3.82,0.71,0.41,0.06,
Divine Deablo,LVR,25,LB,15,15,0.00,0.00,0.00,0,0.13,0.00,0.00,1,0,0,0.07,7.07,4.33,2.73,0.27,0.13,
Jahlani Tavai,NWE,27,LB,17,16,0.12,0.12,0.00,2,0.29,0.12,0.06,0,0,0,0.06,6.47,3.82,2.65,0.29,0.24,
David Long,MIA,27,LB,17,17,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.06,6.65,3.76,2.88,0.53,0.35,
Micah McFadden,NYG,23,LB,16,14,0.06,0.31,0.00,5,0.31,0.00,0.00,4,10,0,0.06,6.31,3.94,2.38,0.75,0.38,
Jordan Hicks,MIN,31,LB,13,13,0.08,0.69,0.00,9,0.38,0.08,0.00,2,42,1,0.08,8.23,4.69,3.54,0.31,0.15,
Nate Hobbs,LVR,24,CB,13,11,0.08,0.77,0.00,10,0.54,0.08,0.00,0,0,0,0.08,6.62,4.54,2.08,0.46,0.15,
Jalen Thompson,ARI,25,S,15,15,0.27,3.27,0.00,35,0.60,0.07,0.00,0,0,0,0.07,5.20,3.93,1.27,0.33,0.20,
Jonathan Owens,GNB,28,S,17,11,0.00,0.00,0.00,0,0.18,0.06,0.00,1,27,1,0.06,4.94,3.41,1.53,0.12,0.06,
Alontae Taylor,NOR,25,CB,17,13,0.12,0.94,0.00,16,0.82,0.06,0.00,0,0,0,0.06,4.41,3.29,1.12,0.35,0.06,
Jack Gibbens,TEN,25,LB,14,13,0.00,0.00,0.00,0,0.21,,,,,0,0.07,6.79,3.93,2.86,0.21,0.14,
Justin Simmons*,DEN,30,FS,15,15,0.20,2.60,0.00,33,0.53,0.13,0.00,1,7,0,0.07,4.67,3.53,1.13,0.13,0.00,
Kader Kohou,MIA,25,CB,17,16,0.00,0.00,0.00,0,0.59,0.00,0.00,1,0,0,0.06,3.71,3.06,0.65,0.29,0.29,
Jabrill Peppers,NWE,28,DB,15,15,0.13,2.27,0.00,33,0.53,0.07,0.07,1,0,0,0.07,5.20,3.47,1.73,0.33,0.13,
Benjamin St-Juste,WAS,26,CB,16,16,0.06,0.00,0.00,0,1.06,0.13,0.00,0,0,0,0.06,4.19,3.25,0.94,0.06,0.06,
Brian Branch,DET,22,DB,15,9,0.20,4.20,0.07,50,0.87,0.07,0.00,0,0,0,0.07,4.93,3.33,1.60,0.47,0.20,
Rasul Douglas,2TM,29,LCB-RCB,16,15,0.31,3.50,0.06,40,0.88,0.00,0.00,3,2,0,0.06,3.81,2.94,0.88,0.19,0.06,
Shaquille Leonard,2TM,28,LB-LLB,14,12,,,0.00,,,,,,,0,0.07,6.29,3.29,3.00,0.29,0.07,
Willie Gay Jr.,KAN,25,LB,16,15,0.06,1.50,0.00,24,0.25,0.06,0.00,3,1,0,0.06,3.63,2.75,0.88,0.25,0.19,
Kyler Gordon,CHI,24,DB,13,7,0.15,0.00,0.00,0,0.46,,,,,0,0.08,4.69,3.38,1.31,0.23,0.15,
Khaleke Hudson,WAS,26,LB,17,8,0.00,0.00,0.00,0,0.12,,,,,0,0.06,4.35,2.59,1.76,0.29,0.12,
Jack Sanborn,CHI,23,LB,17,10,0.06,2.47,0.00,42,0.12,,,,,0,0.06,3.82,2.53,1.29,0.41,0.06,
Derrick Barnes,DET,24,LB,16,13,,,0.00,,,0.06,0.00,0,0,0,0.06,5.06,2.63,2.44,0.31,0.31,
Tracy Walker,DET,28,SS,17,6,0.00,0.00,0.00,0,0.12,0.06,0.00,0,0,0,0.06,3.47,2.47,1.00,0.06,0.18,
Tashaun Gipson,SFO,33,S,16,16,0.06,1.63,0.00,26,0.19,,,,,0,0.06,3.75,2.56,1.19,0.19,0.06,
DJ Turner,CIN,23,CB,17,12,0.00,0.00,0.00,0,0.41,0.00,0.00,1,28,0,0.06,2.94,2.35,0.59,0.12,0.06,
Amik Robertson,LVR,25,CB,17,12,0.12,2.35,0.00,40,0.35,0.06,0.00,0,0,0,0.06,2.94,2.24,0.71,0.12,0.06,
Isaiah Simmons,NYG,25,S,17,4,0.06,3.18,0.06,54,0.18,0.06,0.00,1,1,0,0.06,2.94,1.94,1.00,0.12,0.06,
Kwon Alexander,PIT,29,LB,9,2,0.11,0.00,0.00,0,0.11,0.11,0.00,0,0,0,0.11,4.56,3.56,1.00,0.56,0.22,
Mike Edwards,KAN,27,S,17,5,0.06,0.94,0.00,16,0.29,0.00,0.00,2,101,1,0.06,3.00,1.88,1.12,0.12,0.06,
Dean Marlowe,LAC,31,FS,16,4,,,0.00,,,,,,,0,0.06,2.50,2.00,0.50,0.06,0.00,
Kamu Grugier-Hill,CAR,29,LB,17,5,0.06,1.82,0.00,31,0.12,,,,,0,0.06,3.29,1.82,1.47,0.12,0.06,
C.J. Henderson,CAR,25,CB,12,7,0.00,0.00,0.00,0,0.17,,,,,0,0.08,3.25,2.58,0.67,0.25,0.08,
Tre Brown,SEA,26,CB,15,7,0.13,2.67,0.07,40,0.40,0.13,0.00,0,0,0,0.07,2.27,1.93,0.33,0.13,0.07,
Oren Burks,SFO,28,LB,15,5,0.07,0.73,0.00,11,0.07,0.00,0.00,1,0,0,0.07,3.07,1.93,1.13,0.20,0.07,
Quan Martin,WAS,23,DB,16,5,0.13,0.44,0.00,7,0.25,,,,,0,0.06,2.88,1.75,1.13,0.06,0.06,
Marcus Maye,NOR,30,SS,7,7,0.29,0.71,0.00,5,0.29,,,,,0,0.14,5.29,3.86,1.43,0.43,0.00,
Jonathan Harris,DEN,27,DL,17,5,,,0.00,,,,,,,0,0.06,2.53,1.53,1.00,0.24,0.24,
John Jenkins,LVR,34,DT,17,17,0.00,0.00,0.00,0,0.24,0.00,0.00,1,44,1,0.06,3.59,1.41,2.18,0.24,0.12,
Michael Pierce,BAL,31,NT,17,17,0.00,0.00,0.00,0,0.12,0.06,0.00,2,0,0,0.06,2.47,1.41,1.06,0.12,0.18,
Jordan Howden,NOR,23,DB,16,7,0.00,0.00,0.00,0,0.31,0.06,0.00,0,0,0,0.06,2.69,1.44,1.25,0.00,0.06,
Dane Belton,NYG,23,S,17,2,0.12,1.29,0.00,20,0.12,0.00,0.00,1,2,0,0.06,1.94,1.29,0.65,0.18,0.12,
Deion Jones,CAR,29,LB,13,3,0.08,0.00,0.00,0,0.46,,,,,0,0.08,2.69,1.69,1.00,0.31,0.08,
Patrick Jones II,MIN,25,OLB,17,4,,,0.00,,,,,,,0,0.06,1.88,1.29,0.59,0.29,0.47,
Desmond King,2TM,29,CB-DB,10,3,0.00,0.00,0.00,0,0.20,0.00,0.10,0,0,0,0.10,4.70,2.20,2.50,0.50,0.20,
Mark Robinson,PIT,24,LB,17,2,,,0.00,,,0.06,0.00,0,0,0,0.06,1.76,1.29,0.47,0.06,0.06,
D.J. Reader,CIN,29,DT,14,14,0.00,0.00,0.00,0,0.07,0.00,0.00,1,0,0,0.07,2.43,1.43,1.00,0.14,0.50,
Jeremy Chinn,CAR,25,S,12,8,0.00,0.00,0.00,0,0.08,,,,,0,0.08,2.50,1.50,1.00,0.17,0.08,
Adam Gotsis,JAX,31,DL,17,7,0.00,0.00,0.00,0,0.24,,,,,0,0.06,1.53,1.06,0.47,0.18,0.41,
Duron Harmon,2TM,32,S,7,1,0.14,0.00,0.00,0,0.29,,,,,0,0.14,3.14,2.57,0.57,0.57,0.14,
Josh Paschal,DET,24,DL,12,4,0.00,0.00,0.00,0,0.08,0.00,0.00,1,0,0,0.08,2.08,1.42,0.67,0.42,0.25,
Kelee Ringo,PHI,21,CB,17,4,0.06,0.00,0.00,0,0.12,0.00,0.00,1,0,0,0.06,1.24,1.00,0.24,0.00,0.06,
Teair Tart,2TM,26,DT-LDT,13,9,,,0.00,,,,,,,0,0.08,1.85,1.31,0.54,0.62,0.31,
Keeanu Benton,PIT,22,DL,17,9,0.00,0.00,0.00,0,0.12,0.12,0.00,0,0,0,0.06,2.12,0.94,1.18,0.06,0.47,
Cameron Mitchell,CLE,22,CB,13,3,0.00,0.00,0.00,0,0.15,,,,,0,0.08,1.38,1.23,0.15,0.08,0.08,
Derrick Nnadi,KAN,27,DT,17,17,0.00,0.00,0.00,0,0.06,,,,,0,0.06,1.71,0.94,0.76,0.06,0.06,
Nick Williams,LAC,33,DL,14,6,,,0.00,,,0.00,0.00,2,0,0,0.07,2.29,1.14,1.14,0.50,0.07,
Christian Gonzalez,NWE,21,CB,4,4,0.25,0.00,0.00,0,0.75,,,,,0,0.25,4.25,3.50,0.75,0.25,0.25,
Isaiah Pola-Mao,LVR,24,S,16,0,0.06,0.00,0.00,0,0.06,,,,,0,0.06,1.25,0.88,0.38,0.06,0.06,
Marquis Haynes,CAR,30,OLB,7,1,,,0.00,,,,,,,0,0.14,2.29,1.86,0.43,0.43,0.29,
Antonio Johnson,JAX,22,S,13,3,0.15,3.85,0.00,27,0.23,0.08,0.00,0,0,0,0.08,1.31,1.00,0.31,0.00,0.08,
Benito Jones,DET,26,DL,17,15,,,0.00,,,,,,,0,0.06,1.53,0.76,0.76,0.18,0.35,
Jalen Reeves-Maybin*,DET,28,LB,17,0,0.00,0.00,0.00,0,0.12,,,,,0,0.06,1.18,0.76,0.41,0.06,0.12,
Tavius Robinson,BAL,24,OLB,17,1,,,0.00,,,,,,,0,0.06,1.53,0.76,0.76,0.12,0.06,
DeShawn Williams,CAR,31,DT,16,10,0.00,0.00,0.00,0,0.06,,,,,0,0.06,2.06,0.81,1.25,0.13,0.44,
Myles Jack,PIT,28,LB,3,1,,,0.00,,,,,,,0,0.33,5.67,4.00,1.67,0.33,0.67,
Greg Stroman,CHI,27,DB,7,1,0.14,0.00,0.00,0,0.14,,,,,0,0.14,2.71,1.71,1.00,0.43,0.14,
Keion White,NWE,24,DE,16,4,0.00,0.00,0.00,0,0.19,,,,,0,0.06,1.63,0.75,0.88,0.19,0.31,
Troy Dye,MIN,27,LB,15,2,,,0.00,,,0.07,0.00,0,0,0,0.07,1.13,0.73,0.40,0.07,0.13,
Ronnie Harrison,IND,26,LB,7,3,0.29,6.43,0.14,36,0.29,,,,,0,0.14,2.86,1.57,1.29,0.14,0.14,
Justin Hollins,3TM,27,LB,12,0,,,0.00,,,,,,,0,0.08,1.42,0.92,0.50,0.08,0.08,
Jaleel Johnson,TEN,29,DT,12,4,,,0.00,,,,,,,0,0.08,2.00,0.92,1.08,0.00,0.08,
James Smith-Williams,WAS,26,DE,13,7,,,0.00,,,,,,,0,0.08,1.69,0.85,0.85,0.15,0.62,
Kentavius Street,2TM,27,DT-LDT,13,6,0.00,0.00,0.00,0,0.08,0.00,0.00,1,0,0,0.08,1.38,0.85,0.54,0.31,0.08,
DeMarvin Leal,PIT,23,DE,12,4,0.00,0.00,0.00,0,0.08,,,,,0,0.08,1.25,0.83,0.42,0.17,0.17,
Trenton Simpson,BAL,22,LB,15,0,,,0.00,,,0.00,0.00,1,10,0,0.07,0.87,0.67,0.20,0.13,0.07,
Nolan Smith,PHI,22,LB,17,0,,,0.00,,,,,,,0,0.06,1.06,0.59,0.47,0.06,0.18,
Tim Settle,BUF,26,DT,17,2,,,0.00,,,,,,,0,0.06,0.82,0.53,0.29,0.06,0.12,
Mazi Smith,DAL,22,DT,17,3,,,0.00,,,,,,,0,0.06,0.76,0.53,0.24,0.18,0.18,
Neville Gallimore,DAL,26,DT,17,0,0.00,0.00,0.00,0,0.06,,,,,0,0.06,0.94,0.47,0.47,0.12,0.12,
Dawuane Smoot,JAX,28,OLB,12,0,,,0.00,,,0.08,0.00,0,0,0,0.08,0.83,0.67,0.17,0.00,0.33,
Isaiah Buggs,DET,27,DT,10,3,0.00,0.00,0.00,0,0.10,0.00,0.00,1,33,0,0.10,1.20,0.70,0.50,0.20,0.10,
Greg Gaines,TAM,27,DL,17,2,,,0.00,,,0.00,0.00,1,0,0,0.06,1.41,0.41,1.00,0.00,0.29,
Linval Joseph,BUF,35,DT,7,0,,,0.00,,,,,,,0,0.14,1.71,1.00,0.71,0.14,0.14,
Shaq Lawson,BUF,29,DE,16,1,,,0.00,,,,,,,0,0.06,0.81,0.44,0.38,0.13,0.44,
J.J. Russell,TAM,25,LB,8,1,,,0.00,,,,,,,0,0.13,1.25,0.88,0.38,0.13,0.13,
Marlon Davidson,TEN,25,DL,5,3,,,0.00,,,,,,,0,0.20,2.00,1.20,0.80,0.40,0.20,
Ta'Quon Graham,ATL,25,DL,15,2,,,0.00,,,0.07,0.00,0,0,0,0.07,1.53,0.40,1.13,0.07,0.13,
Da'Shawn Hand,MIA,28,DT,16,0,0.00,0.00,0.00,0,0.13,,,,,0,0.06,1.06,0.38,0.69,0.06,0.19,
Eric Johnson,IND,25,DT,14,0,,,0.00,,,,,,,0,0.07,1.07,0.43,0.64,0.07,0.21,
Joseph Ossai,CIN,23,DE,14,0,0.00,0.00,0.00,0,0.07,,,,,0,0.07,0.71,0.43,0.29,0.07,0.50,
Ben Stille,ARI,26,DL,5,0,,,0.00,,,,,,,0,0.20,1.60,1.20,0.40,0.00,0.20,
Ar'Darius Washington,BAL,24,S,2,1,0.00,0.00,0.00,0,1.00,,,,,0,0.50,5.50,3.00,2.50,0.50,1.00,
Poona Ford,BUF,28,DT,8,0,,,0.00,,,,,,,0,0.13,1.13,0.63,0.50,0.13,0.38,
Cam Gill,TAM,26,OLB,15,0,,,0.00,,,0.07,0.00,0,0,0,0.07,0.80,0.33,0.47,0.00,0.07,
Isaiah McGuire,CLE,22,DE,4,1,,,0.00,,,,,,,0,0.25,1.50,1.25,0.25,0.50,0.50,
David Ojabo,BAL,23,OLB,3,1,,,0.00,,,0.33,0.00,0,0,0,0.33,2.00,1.67,0.33,0.00,0.33,
Elijah Riley,PIT,25,S,13,0,,,0.00,,,,,,,0,0.08,0.92,0.38,0.54,0.15,0.08,
Janarius Robinson,LVR,24,DE,6,2,,,0.00,,,,,,,0,0.17,1.33,0.83,0.50,0.17,0.33,
Levi Onwuzurike,DET,25,DL,10,0,,,0.00,,,,,,,0,0.10,0.50,0.40,0.10,0.10,0.20,
